quantification_cDNA;coverage_depth;reads;coverage_genome
17.6;299;24800;96.897
20.2;141;11357;90.539
15.8;212;16865;93.315
50.4;542;41564;98.679
18.2;516;40262;99.595
11.1;540;42946;98.743
17.5;663;51594;99.595
19.1;491;37908;95.602
20.2;326;25631;97.094
11.3;102;16495;79.915
15.7;319;24818;97.669
13.1;487;39614;99.595
15.5;549;42796;99.595
14.6;526;41597;99.595
14.8;533;42138;99.595
9.89;195;15956;94.308
22.2;1049;81099;98.679
11.2;748;60312;97.02
14.8;614;48400;99.595
17.9;725;56183;98.743
20.9;919;71025;99.595
21.3;903;70010;99.595
28.2;641;49711;98.803
20.9;573;44424;98.602
14.7;978;78877;99.595
19.8;855;66208;99.595
20.3;689;53455;98.799
17.5;839;65088;99.595
20.3;598;46384;98.743
31.3;664;51238;99.595
56.8;633;48978;96.957
69.5;999;76706;99.595
33.4;1318;100864;98.669
31.1;1011;77530;99.595
24.5;989;76394;99.595
25;1354;104277;98.866
13.2;83;6821;77.25
12;1158;90187;99.595
23.4;649;50380;98.602
13.6;776;59642;56.456
19.5;998;77228;99.595
27.6;1416;109049;99.595
16.2;707;54605;99.595
25.3;1817;139215;99.595
24.7;1152;88614;98.679
10.4;558;43532;98.679
25.6;732;56652;99.595
17.9;847;65308;99.595
14.1;1124;87994;97.91
22.2;1845;141972;99.595
22;723.4;55617;99.595
7.86;15.53;1222;18.971
16.2;386.8;29907;96.826
8.19;360.2;28403;86.152
14.3;384.7;29773;77.337
11.2;405.3;31461;56.125
10.9;347.8;26984;56.101
4.45;3.3;272;0
6.5;204.9;15769;95.138
25.8;923;70743;98.679
22.2;602;46222;98.866
12.7;359.6;28197;96.88
27.1;928.4;71203;99.595
5.39;2.1;174;0
23.8;633.5;48869;99.595
9.4;183.9;14230;93.971
13.8;428;33299;96.833
18;463.3;35689;97.873
28.5;665.6;51019;99.595
14.1;446.8;34524;97.95
20.2;580.3;44726;98.866
8.97;250.6;19406;97.02
15.8;449.6;34750;97.873
5.61;16.7;1298;19.386
16.9;290.4;22536;93.017
11.3;356.9;27798;98.602
17;424;32655;98.866
22.8;591.6;45449;99.595
27.7;1228.2;94263;99.595
21.8;586.6;45000;99.595
17;370.6;28669;97.873
26.4;641.3;48968;98.866
16.2;1009.4;77197;98.866
22.2;808.4;62054;99.595
16;191.3;14832;87.296
17.6;790.2;60489;99.595
15.7;871;67458;98.866
9.77;1080.2;83173;98.666
15;398.9;30842;98.602
25.6;814.2;62159;99.595
31.7;1373.6;104938;99.595
11.1;57;4503;60.897
8.92;258.5;20058;97.02
19.6;738.34;56522;99.595
19.4;1292.8;99294;98.679
28.9;789;60621;99.595
13.3;500.2;38913;97.873
11.4;211.2;16489;96.228
