quantification_cDNA;CT;coverage_depth;reads;coverage_genome
11.2;19;748;60312;97.02
13.2;22;83;6821;77.25
14.1;21;1124;87994;97.91
5.32;21;75.84;5862;44.37
6.72;24;94.3;7425;47.34
19.1;23;406.9;31434;97.95
17.8;23;348.3;27716;95.97
28.1;18;97;7688;89.76
52.8;18.5;269;20929;96.957
51.8;15.7;516;39774;98.679
6.42;23.6;99;7817;82.895
78.4;11.9;467;36214;98.679
51;19.5;201.1743638;17130;93.064
56;21;185.865766;15789;92.235
54.2;20.8;193.5000836;16195;92.155
51;23.9;146.7594221;14092;89.576
39.6;18.8;195.7968097;19427;92.208
62.4;20;352.5799084;30156;95.004
48.6;22.9;166.7540046;16152;91.342
19.2;22;585;45607;100
25.2;22;177;14189;100
11.9;14;703;54800;75.38
32.2;14;583;45338;97.81
39;14;193;15526;100
32.6;15;416;32651;96.87
25.2;15;1233;95178;97.81
27.6;10;629;49201;94.97
11.7;12;440;34013;100
20.2;16;421;32889;100
28.6;15;752;73082;97.81
5.56;14;129;36371;100
25.8;12;472;46348;97.81
14.4;14;191;18359;100
14.3;20;224;21402;89.58
22.2;11;148;14268;100
28;10;330;34006;96.95
19.2;20;561;53173;100
19.1;10;118;20606;81.48
27.6;12;670;63687;97.81
39.8;12;207;20014;100
20.2;14;46;5417;100
35.4;10;514;59334;100
28.8;14;67;7175;100
21;10;155;22516;100
29.8;14;302;29895;94.97
36.6;13;204;19588;100
11.8;18;208;50783;100
29.2;12;144;14773;88.63
2.28;16;5;499;100
34.2;18;933;105560;97.726
23.6;14;490;65312;100
46.4;10;372;38266;98.662
78.2;8;448;45702;98.679
30.8;14;203;21794;94.158
40;7;252;27116;96.994
34;14;257;26851;94.158
28.8;13;313;31220;94.047
47.8;8;453;44721;98.662
33.4;10;460;47301;96.134
54.8;8;348;33644;96.994
50.8;12;405;36710;96.094
50.2;13;490;47964;96.994
37.8;12;373;38064;96.994
46;8;284;28427;96.994
36.2;12;422;44039;97.646
35.4;10;346;34963;96.134
41.4;13;371;37084;96.786
67.8;10;716;69716;97.646
45.6;12;548;53896;98.679
45.6;14;459;45525;96.726
47;10;431;39899;96.134
52;11;432;42583;96.994
35.2;14;305;31069;96.124
43.4;12;366;36030;96.994
34.8;14;205;21498;94.158
64.8;14;287;28909;96.134
61.2;14;304;30469;96.134
47.8;10;427;44860;97.646
49.4;11;341;34172;97.646
33.2;14;194;20190;94.158
36.2;10;229;22825;95.512
37.4;14;241;24713;95.141
54.2;15;424;41740;96.994
71.6;16;380;35492;95.281
72.2;15;465;46063;96.994
